image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram
https://m.media-amazon.com/images/I/81N73b5khVL.jpg,149159,item_weight,30.0 kilogram
https://m.media-amazon.com/images/I/61oMj2iXOuL.jpg,308856,item_weight,10 kilogram to 15 kilogram
https://m.media-amazon.com/images/I/91LPf6OjV9L.jpg,281678,item_weight,3.53 ounce
https://m.media-amazon.com/images/I/81fOxWWWKYL.jpg,281678,item_weight,3.53 ounce
https://m.media-amazon.com/images/I/81dzao1Ob4L.jpg,281678,item_weight,53 ounce
https://m.media-amazon.com/images/I/91-iahVGEDL.jpg,281678,item_weight,100 gram
https://m.media-amazon.com/images/I/81S2+GnYpTL.jpg,731432,item_weight,200 gram
https://m.media-amazon.com/images/I/81e2YtCOKvL.jpg,731432,item_weight,1 kilogram
https://m.media-amazon.com/images/I/81RNsNEM1EL.jpg,731432,item_weight,200 gram
https://m.media-amazon.com/images/I/91prZeizZnL.jpg,731432,item_weight,200 gram
https://m.media-amazon.com/images/I/31EvJszFVfL.jpg,731432,item_weight,200 gram
https://m.media-amazon.com/images/I/61wzlucTREL.jpg,252585,item_volume,4.0 gallon
https://m.media-amazon.com/images/I/61sQ+qAKr4L.jpg,299791,item_weight,2.7 gram
https://m.media-amazon.com/images/I/81x77l2T5NL.jpg,884560,item_weight,112 gram
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,item_weight,4.1 kilogram
https://m.media-amazon.com/images/I/71nywfWZUwL.jpg,179080,voltage,48.0 volt
https://m.media-amazon.com/images/I/51WsuKKAVrL.jpg,866516,item_weight,158.0 gram
https://m.media-amazon.com/images/I/61XGDKap+JL.jpg,866516,item_weight,158.0 gram
https://m.media-amazon.com/images/I/715vVcWJxGL.jpg,459516,item_weight,5000 milligram
https://m.media-amazon.com/images/I/613v+2W4UwL.jpg,524635,item_weight,18.55 gram
https://m.media-amazon.com/images/I/71+fn9TWQmL.jpg,524635,item_weight,18.55 gram
https://m.media-amazon.com/images/I/71aKgRRQ2wL.jpg,524635,item_weight,18.55 gram
https://m.media-amazon.com/images/I/71rKXZJrh4L.jpg,524635,item_weight,18.55 gram
https://m.media-amazon.com/images/I/71D824lbRvL.jpg,524635,item_weight,18.55 gram
https://m.media-amazon.com/images/I/71004c9tzfL.jpg,730429,item_weight,50.0 gram
https://m.media-amazon.com/images/I/51bQPPtMqYL.jpg,881883,item_weight,26.0 gram
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,wattage,800.0 watt
https://m.media-amazon.com/images/I/61o2ntPNNgL.jpg,179080,voltage,36.0 volt
https://m.media-amazon.com/images/I/71IUuTJ8QwL.jpg,601746,item_weight,330.0 pound
https://m.media-amazon.com/images/I/915JHkwtcrL.jpg,487566,item_weight,31.0 ounce
https://m.media-amazon.com/images/I/71cjrYndwIL.jpg,794161,item_weight,0.35 ounce
https://m.media-amazon.com/images/I/81hnk2WXO3L.jpg,639090,item_weight,35.0 gram
https://m.media-amazon.com/images/I/61HXgujoxpL.jpg,752266,wattage,150.0 watt
https://m.media-amazon.com/images/I/613G8GOyLSL.jpg,752266,wattage,150.0 watt
https://m.media-amazon.com/images/I/71YyZ2iPyZL.jpg,752266,wattage,30.0 watt
https://m.media-amazon.com/images/I/81K3JwUCnQL.jpg,752266,wattage,30.0 watt
https://m.media-amazon.com/images/I/41wvffSxB4L.jpg,299791,item_weight,15.5 gram
https://m.media-amazon.com/images/I/91cErO-KbLL.jpg,237000,item_weight,200.0 gram
https://m.media-amazon.com/images/I/817vo3DcCNL.jpg,179080,wattage,250.0 watt
https://m.media-amazon.com/images/I/815pYcvCCeL.jpg,365637,item_weight,300.0 gram
https://m.media-amazon.com/images/I/615roHaokEL.jpg,810266,item_weight,100.0 gram
https://m.media-amazon.com/images/I/71JXfZLNJjL.jpg,639090,item_weight,22.0 gram
https://m.media-amazon.com/images/I/71yQq9I3yzL.jpg,731432,item_weight,3.0 gram
https://m.media-amazon.com/images/I/718M5ODio0L.jpg,731432,item_weight,3.0 gram
https://m.media-amazon.com/images/I/61lpwH0qHbL.jpg,731432,item_weight,3.0 gram
https://m.media-amazon.com/images/I/712sZRVe98L.jpg,731432,item_weight,2.0 ton
https://m.media-amazon.com/images/I/71d+dz7ogkL.jpg,150913,maximum_weight_recommendation,15 kilogram
https://m.media-amazon.com/images/I/51WSQa1ygML.jpg,630869,item_weight,14.8 gram
https://m.media-amazon.com/images/I/71QR6ELoPnL.jpg,675317,item_weight,4.4 pound
https://m.media-amazon.com/images/I/71cO37WLcCL.jpg,675317,item_weight,4.4 pound
https://m.media-amazon.com/images/I/71k0T1lkazL.jpg,801829,maximum_weight_recommendation,350 pound
https://m.media-amazon.com/images/I/61qfHDESRQL.jpg,275506,item_weight,4.5 gram
https://m.media-amazon.com/images/I/61QC4Kt6FgL.jpg,275506,item_weight,4.5 gram
https://m.media-amazon.com/images/I/81+ZDpWM6aL.jpg,281678,item_volume,1977.0 decilitre
https://m.media-amazon.com/images/I/711unoPoAUL.jpg,801829,item_weight,120.0 gram
https://m.media-amazon.com/images/I/91yjUjUz1PL.jpg,281678,item_volume,100.0 millilitre
https://m.media-amazon.com/images/I/61iyjkBOWwL.jpg,281678,item_volume,100.0 millilitre
https://m.media-amazon.com/images/I/81bWfMuySqL.jpg,281678,item_volume,100.0 millilitre
https://m.media-amazon.com/images/I/81cNMlJ3rUL.jpg,297918,item_weight,40.0 gram
https://m.media-amazon.com/images/I/71V8xeIdY8L.jpg,297918,item_weight,0.0 gram
https://m.media-amazon.com/images/I/81QVNxEt5jL.jpg,297918,item_weight,40.0 gram
https://m.media-amazon.com/images/I/61rzdBIml6S.jpg,416664,item_weight,60.0 gram
https://m.media-amazon.com/images/I/71XLo+kfY4S.jpg,416664,item_weight,60.0 gram
https://m.media-amazon.com/images/I/61GnRPsq7eS.jpg,308856,item_weight,390 gram
https://m.media-amazon.com/images/I/71L-+M3VVPL.jpg,507619,item_weight,"[25.0, 30.0] pound"
https://m.media-amazon.com/images/I/81OX3LrynvL.jpg,801829,maximum_weight_recommendation,120 kilogram
https://m.media-amazon.com/images/I/71CgwBBpm2L.jpg,953031,item_weight,5.0 gram
https://m.media-amazon.com/images/I/61uEVvHFcnL.jpg,953031,item_weight,5.0 gram
https://m.media-amazon.com/images/I/6186qz73QDL.jpg,369753,item_volume,2.55 cubic inch
https://m.media-amazon.com/images/I/51-GFfHUt5L.jpg,993359,item_weight,100 gram
https://m.media-amazon.com/images/I/71wManz+q7L.jpg,281678,item_weight,100.0 gram
https://m.media-amazon.com/images/I/71rBE9Nt9sL.jpg,281678,item_weight,100.0 gram
https://m.media-amazon.com/images/I/61NpAba1eLL.jpg,523149,item_weight,2.6 gram
https://m.media-amazon.com/images/I/81GfAC59d9L.jpg,387046,item_weight,7.9 kilogram
https://m.media-amazon.com/images/I/71BkkuPYJFL.jpg,433914,item_weight,150.0 kilogram
https://m.media-amazon.com/images/I/61k7TzX5kYL.jpg,601746,item_weight,0.9 kilogram
https://m.media-amazon.com/images/I/81hGUpAFNJL.jpg,922709,voltage,7.0 volt
https://m.media-amazon.com/images/I/71iSbwHDcdL.jpg,648011,voltage,"[175.0, 265.0] volt"
https://m.media-amazon.com/images/I/81BxHI-QPIL.jpg,558374,item_weight,2.82 ounce
https://m.media-amazon.com/images/I/71WaRSgdUyL.jpg,558374,item_weight,16.0 gram
